case_id,packet_present,audit_present,pass1_present,in_official_universe,official_cohort_year,official_dataset_split,annotation_source_year,annotation_dataset_split,identity_mismatch,oracle_buildable,failure_reason,effective_annotation_hash,content_hash
ipo_2020_01942,True,True,True,True,2020,development,2020,development,,True,,c39fff3033cb79d2eb0873fd1b54052c84a0bb479eb9ba38989e54fa6efc6b06,660d192afc38a8a31216ab6a100866a5c9f41e6af9a969a572c959f1b80ad22a
ipo_2020_01945,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01950,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01952,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01953,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01957,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01961,True,True,True,True,2020,development,2020,development,,True,,7571e7502f0b02f815d7987abf3c8b9a7e765e1f5336bf54bfcdcefb39cc38c4,a054493fc5f97d5a1a79f27d88f1fd3a91c1a3c591f0d29a14ed5447a48ed965
ipo_2020_01971,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01981,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02057,True,True,True,True,2020,development,2020,development,,True,,df6877254aaad8f061437e2e631059d35df5eada518854041c3f3c4cf1910c99,2870003f9aaef16cca27915c1fffe9af5fefe7398cd48db375ecfd74fb1ca4a7
ipo_2020_02096,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02101,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02107,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02110,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02115,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02117,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02125,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2020_02126,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02127,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02129,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2020_02130,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02131,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02132,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02135,True,True,True,True,2020,development,2020,development,,True,,59f2b30012dfcca5886afa8b202e4dcde3993b4ff416955e96fe55dbbe5a233c,18e2b8f1bebac85c763e6ba34412d0df1afaa9248e0e929ec127a29a20288387
ipo_2020_02142,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02146,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2020_02148,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02153,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2020_02158,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2020_02159,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2020_02169,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02263,True,True,True,True,2020,development,2020,development,,True,,38c9b3b5a854d9b7ae03f24cd4b4093dacfed11a06ba91f8cf2bef29d28f656a,a871b0d13f4160dee189ed85dcfa17e250a3e6745d11ad627372e326a8dacfef
ipo_2020_02381,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_02599,True,True,True,True,2020,development,2020,development,,True,,86d5b40a8e588f10966ef527dd6088cca4f05634113f6dbbcdf47fdf210cbb09,383b4e710c75dfb3f406a6e85782a19bad078fd184f9813ef48329a466cdf048
ipo_2020_03347,True,True,True,True,2020,development,2020,development,,True,,ca9e996446d2b8016a0af6e1d65dddfaad3978a4cdd78e7cba9f4a5413d738e4,882d0502feb477f84eabea38e5afdb5ef3dfb506310a21601ded0e2b7367b319
ipo_2020_03390,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_03913,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06063,True,True,True,True,2020,development,2020,development,,True,,5d37e2b584d185b23efc85131978becd54ea6b276368bb0d9e49f7b908e6a24f,217631d34a9d4687c5f240cefe790912dbbd5a114d484aef5961fa32f9ca6514
ipo_2020_06078,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06618,True,True,True,True,2020,development,2020,development,,True,,0c2c0c428ea38adb94628ccb4958dfacec264657d457dcbd0863ae0aa7642ba3,4b5f6d76db60acfe560cb7ced73b1a08a8d4ea7a4a7137b3f700cb7fc51dcc53
ipo_2020_06666,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06677,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06688,True,True,True,True,2020,development,2020,development,,True,,8b0a02660a989303f6380666de78f92056b6cf29a77da3311c140937e06abde6,fcc757fea180f2218d470cf3ec439e02305b96713fabfa6573f91275043f1b96
ipo_2020_06813,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06900,True,True,True,True,2020,development,2020,development,,True,,fa275b6e595081007e70dc5c073490ec68ae8ab8c840af7eab818f4fc911c58f,b4f8244eb83cd8f0c7611f7e1a8260aa10bca864c1eb8449cf07bf2346a56445
ipo_2020_06918,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06933,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06958,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06968,True,True,True,True,2020,development,2020,development,,True,,fca22940516e82d40592c7347839b86f37535799331c513dacaca5db91626bae,d12126f09643ad5ff0dca070d8acfcddcf891563f5a992e32b9bf352263a35d9
ipo_2020_06969,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06978,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06988,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06989,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06993,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06996,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06998,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_06999,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_08489,True,True,True,True,2021,development,2020,development,cohort_year,True,,b4f0f4c2971b3b00119d5b11ec3580cedb9531472e80d5bdb6bd9ef520b9556c,70430b70b6abec476cbbe648a6966c129eca6b9f3a9d25eb229d219d31e05841
ipo_2020_08496,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_08616,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_08620,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_08623,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_08657,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_08659,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09600,True,True,True,True,2021,development,2020,development,cohort_year,True,,b95edbb23dc49db182ef7c0a00d049694b7c8e4c6fd46d4bc231ec4c00027469,59d398f541d77de140879b5d092f4556a877a97c80560ced8f3af13698343cf4
ipo_2020_09608,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2020_09616,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09618,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09633,True,True,True,True,2020,development,2020,development,,True,,867414ad45525f76b23c7a7d47e6a21be1f97c81be78f7e79e1fbcfb6ad4f94c,fc311f1cc0512617d0b74d76f5f789d0e6c7006bb45ebb5f583a3658b1342dbb
ipo_2020_09666,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09668,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09677,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09688,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09698,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09901,True,True,True,True,2020,development,2020,development,,True,,2135f394807e7dfbe39eb93e00e7e146db5e75b0285ce40440897e2e21bdf7c0,4a3d5c5d399729d8630bb30c1e306e4721aabebb513c7031b2e3d3bb1c90e059
ipo_2020_09906,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09908,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09913,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09916,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09923,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09926,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09929,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09936,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09939,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09958,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09969,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09977,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09979,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09983,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09986,True,True,True,True,2020,development,2020,development,,True,,f315b505e32fc34f080054264fc37f33261a36ca47e78da44fb64f77d3eff5d3,aa1c35f56bb874740ce3e2d19d50d5ae8ca37fa23a0c65b7f3723fbf2f5036a9
ipo_2020_09987,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09989,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09990,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09991,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09992,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09993,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09995,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09996,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09997,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_09999,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2021_00013,True,True,True,True,2021,development,2021,development,,True,,cfb4d6342d474a84715427e4a81d1031144cbfd9b81b0c4c09d1b6e47dd59ac8,44be52070712cae71397598963c81d69822e27c651c8fd145aef640348a35844
ipo_2021_00020,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_00606,True,True,True,True,2021,development,2021,development,,True,,83415cc9e6c1b658fce02f24005a77c4b2f9f7bb6f33328d66e516eba5f9ac50,3855c442bbdc5d1f2674b2a164b10347da61bb233f5401597c680b43781d0ca9
ipo_2021_01024,True,True,True,True,2021,development,2021,development,,True,,e12c4588e8a7b7167265d3265a00cfaf4ec3b3016f82c3a2a16a8540244d9035,9fe9a90e230e92505cdc75d80c8a0c0d250ba99d4f2156e825fd0b252ada38a3
ipo_2021_01228,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_01413,True,True,True,True,2021,development,2021,development,,True,,ca75d6f495706217a36642c179d20fb348f38ed08ee77838e31025c6fec6d014,70d65a8aca41b93b33391232b89cecbfcb4f0ab988a14f5297c4a398682c27a3
ipo_2021_01473,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_01491,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_01927,True,True,True,True,2021,development,2021,development,,True,,01dd17dca8158153f68736374b5a0d8fdbf1d7eab285ac1fc9e8a0a6cb9e5000,af40c49c4adbf98a987c6abd02799cbf789ff8b096466e3a5d17c35844f1e244
ipo_2021_01948,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_01965,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02015,True,True,True,True,2021,development,2021,development,,True,,068d89c4132b785917e86f4516c3da0844d25e0776decf612b0dca49fbc9d41e,9e170ae54760e06da3c5ad6175d297e32751c8cd57b5501e29614aae863a9bff
ipo_2021_02137,True,True,True,True,2021,development,2021,development,,True,,389e63989e732e8567a7231c34c0549bb4fd55f656792d5fe72a9f6c19cdbedc,ce7b2e821982734bb54017ccd7be3fa0b5a7ed0014816f2550a7dc0f219b69ea
ipo_2021_02150,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02155,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02160,True,True,True,True,2021,development,2021,development,,True,,5dfe58da4ca29c3d3eda9a443ec6e62d5749a4e945702d9fd65d9674e4471ff7,dc5dc41dc9503a59426c0d962dc6d8e3d339d51f2d2f87446f738e1f7eae2870
ipo_2021_02161,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02162,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02165,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02170,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02171,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02175,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02177,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02185,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02187,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02190,True,True,True,True,2021,development,2021,development,,True,,5b27c28d5b5981c9b0d4a0f9fd7a3f88d3fdbdd1b23bc9f03eb87b0138910bb9,6ee57660bb0daea1441fe43402d19dfff1b20460c4e5d30b6d0a67414d5aaf9f
ipo_2021_02192,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02195,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02197,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02205,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02207,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02209,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02210,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02215,True,True,True,True,2021,development,2021,development,,True,,18086fc1541c251a88ab21c78369d53201c64228ffdd19f7eab2ad2bd37f0a2a,fbbd3d9fb21801b4fec049635ae1417ccf7dab236ee0c40b9c1f2346278a70fb
ipo_2021_02216,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02217,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02219,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02235,True,True,True,True,2021,development,2021,development,,True,,898cecd9f15fc9f5edb1d9bdad7ff8e1d60b30ad5aa99eb33708ad1d1119fe78,b87b5ef9e2b33b434b1e0ad938a4c7a3088137b6943ab7d53e2d3659941e3adb
ipo_2021_02250,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2021_02251,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02252,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02256,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02257,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02260,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2021_02265,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02270,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02273,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02276,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02279,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02285,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02378,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_02518,True,True,True,True,2021,development,2021,development,,True,,47329eb8d0d11220975b37b874d9b3f5797ed998240e13a8fc693c31cd74643a,c84e36fbcf9dd508259165ce679f41f18c6c66dcc7d0c60ad24857a26dfb7930
ipo_2021_02618,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_03658,True,True,True,True,2021,development,2021,development,,True,,e7f04b52c29e2ecc7394e436918fcd6b052a3e50dfe849cd628634dd4d22ce53,3b01056f230ffa8adbb6d49fc5d6ea26f22d02af889b7fd7050e1d89b069120a
ipo_2021_06127,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06601,True,True,True,True,2021,development,2021,development,,True,,22dd82ac59834b151024b69f65a80270baa426be1fffe1820e1881e1c0918baf,587c81c7f295de5444ebeac1075b0435e6a2a7effbce9d83765a6ac971ca394a
ipo_2021_06606,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06608,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06609,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06611,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06616,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06622,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06626,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06628,True,True,True,True,2021,development,2021,development,,True,,6896be58859d468a2505a30884d91d53c12bf5abe66984f246f0661d8938682f,b6f800cf510882358ff3bcea6b7305e2114015fce8fa8cc677cde7546e7dbbbf
ipo_2021_06633,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06668,True,True,True,True,2021,development,2021,development,,True,,3a01a8e09fdc245d591c950e47b47e35877b275587e931730bb420c681eb730a,2682e0005516cd9e3114c0d99e142571a0ae1dd0fdefb98300b371e554393e7f
ipo_2021_06669,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06680,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2021_06699,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06821,True,True,True,True,2021,development,2021,development,,True,,6b0028df9c9c584070c74f2a892c7a699543f2d7d29a0dcf304a924245dff0c2,9ff27ddc2ddd6f5ce77df4832fccd671ae6a2458d01ba96c23ef6ef8589e260e
ipo_2021_06909,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06913,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_06939,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09626,True,True,True,True,2021,development,2021,development,,True,,4fc9034dc71b7ceb1385a10c927c591806066508693fa3493c872fe235e4b935,2fcbe5ce0a73fac1efde4a2686f3b30fb25fcdd99f8415b94fb4c9ba1cb0b5af
ipo_2021_09699,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09858,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09868,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09869,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09888,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09889,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09898,True,True,True,True,2021,development,2021,development,,True,,7b13925b89e0eb7507b68f1205b085852520e7443820ff1d7c6bff0aa4594085,a5aed37f4f21b9dc0bcb00e09c34a8db942c563f81e53ce076d89341fdaf5049
ipo_2021_09899,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09956,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09959,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09960,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09961,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2021_09982,True,True,True,True,2021,development,2021,development,,True,,6241097a9a3deafd2816626ea754c0f9d2d0d535584901727b4d3f75083b6b77,52af716b48c4c048e28a2f51f3147c0e99d5deed718da1187e453ddad02d4835
ipo_2022_00314,True,False,True,True,2022,development,2022,development,,True,,3bc5be192b4f9e4b6cc29674b1a8d3ed5d9d364d9b342743dec6764f519285ed,d1265909718e10592ba615da3829fed75c63ae8487c49f460d07a24932d051b8
ipo_2022_00816,True,True,True,True,2022,development,2022,development,,True,,62510132d5a25b55cd63cbf884aedc6765643338c75013cb7bb8689ea0d66a37,c31ce4c661cc474d53dda0cf74e6d0b3b1eb04e6107657b5dbd2f9c9464ed14a
ipo_2022_01204,True,True,True,True,2022,development,2022,development,,True,,8d58b0a607d9ce4a69e23519bace29d3f7751a6446f225548af5012ec14f849e,49d73a9e1371c6067b9f4dbe81a505217491bea8cef5b49751e4f772da5a7030
ipo_2022_01244,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_01406,True,True,True,True,2022,development,2022,development,,True,,b5cfff0004ca98ea3025d338437334e086c332808dd38dcecba6d7620ed68e3d,1816185947d2fdb973bafea2c47548072e7760bbbfa1399314eb82e82fbccf48
ipo_2022_01407,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_01489,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_01880,True,True,True,True,2022,development,2022,development,,True,,32101787da3e40385feec22eba6f7ac9f083d67d7bdcffe4e76755383f6b04a9,a75bfbc4a0bad28b2fceb8ee127d21c6dc69826ffbbd29f31c46361530843768
ipo_2022_01947,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_02121,True,True,True,True,2022,development,2022,development,,True,,b38712a3e5eb5485b2a7bba202f205013454abc015dc496defadea2a5d57896d,3e6cc4fae18c56a2c23b512eecd1d88abe49a74ff7fbcca57c8f33c2c544b03b
ipo_2022_02145,True,True,True,True,2022,development,2022,development,,True,,3df29634759183438c5c4ad8ef85f4d7cb7ff0efefd9fdead6e96a4588f165d2,722880d48b2ae5f81c41774b0280b10fc216712ff46e4c335e293b3e488e6efc
ipo_2022_02147,False,False,False,True,2023,development,,,,False,no_reviewed_gold,,
ipo_2022_02152,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_02157,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_02167,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_02172,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_02179,True,True,True,True,2022,development,2022,development,,True,,30f75f1854900417f520f188b4be9626b869f1b66d574957d47a65d836cbfc05,064512c0818bc25a53980f585473d0d67a9634c4732752ae15b3ee9baf48a2db
ipo_2022_02237,True,True,True,True,2022,development,2022,development,,True,,da68824ca67693599e4c1996bf47aee09da53daeeb63f7f2793fc65420926268,45bdfdfd8fc7aaa7c392693a558009a37d5d80593d3993d82ac0f6ed8bc1a8ae
ipo_2022_02245,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_02246,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_02291,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_02297,False,False,False,True,2022,development,,,,False,no_reviewed_gold,,
ipo_2022_02306,False,False,False,True,2023,development,,,,False,no_reviewed_gold,,
